model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_with_category,total_n_with_category,total_n_with_both,low_support_diagnostic
Gemma 4 31B,Stochastic,ClaimComparison,Comparison,3,0.46931473207893,0.033583862595074274,0.4375,0.504424778761062,109.33333333333333,328,154,False
Gemma 4 31B,Stochastic,ClaimComparison,Contingency,3,0.5491118734631923,0.027116572570056497,0.5178571428571429,0.5663716814159292,109.33333333333333,328,180,False
Gemma 4 31B,Stochastic,ClaimComparison,Expansion,3,0.5511005179630062,0.028121368746160415,0.5242718446601942,0.5803571428571429,109.33333333333333,328,181,False
Gemma 4 31B,Stochastic,ClaimComparison,Temporal,3,0.5391430801206125,0.023614136264068976,0.5242718446601942,0.5663716814159292,109.33333333333333,328,177,False
Gemma 4 31B,Stochastic,ClaimComparison,Any explicit,3,0.9762958280657396,0.020529023311068255,0.9642857142857143,1.0,109.33333333333333,328,320,False
Gemma 4 31B,Stochastic,Payoff,Comparison,3,0.4759630200308167,0.12346507513349253,0.34545454545454546,0.5909090909090909,52.666666666666664,158,74,False
Gemma 4 31B,Stochastic,Payoff,Contingency,3,0.762788906009245,0.09561427779622923,0.6590909090909091,0.847457627118644,52.666666666666664,158,122,False
Gemma 4 31B,Stochastic,Payoff,Expansion,3,0.5879558294812531,0.04215579165143471,0.559322033898305,0.6363636363636364,52.666666666666664,158,93,False
Gemma 4 31B,Stochastic,Payoff,Temporal,3,0.37154596815613766,0.048712067582645006,0.32727272727272727,0.423728813559322,52.666666666666664,158,59,False
Gemma 4 31B,Stochastic,Payoff,Any explicit,3,0.9822290703646637,0.018195741276177353,0.9636363636363636,1.0,52.666666666666664,158,155,False
Gemma 4 31B,Stochastic,Uncertainty,Comparison,3,0.6439393939393939,0.032803992567592345,0.625,0.6818181818181818,20.666666666666668,62,40,True
Gemma 4 31B,Stochastic,Uncertainty,Contingency,3,0.4248737373737374,0.11669392473122417,0.3125,0.5454545454545454,20.666666666666668,62,27,True
Gemma 4 31B,Stochastic,Uncertainty,Expansion,3,0.5984848484848485,0.04592558959462935,0.5454545454545454,0.625,20.666666666666668,62,37,True
Gemma 4 31B,Stochastic,Uncertainty,Temporal,3,0.2588383838383838,0.05545502842423673,0.20833333333333334,0.3181818181818182,20.666666666666668,62,16,True
Gemma 4 31B,Stochastic,Uncertainty,Any explicit,3,0.9349747474747474,0.024718146402085757,0.9090909090909091,0.9583333333333334,20.666666666666668,62,58,True
Gemma 4 31B,Greedy,Mechanical,Comparison,1,0.42718446601941745,,0.42718446601941745,0.42718446601941745,103.0,103,44,False
Gemma 4 31B,Greedy,Mechanical,Contingency,1,0.6504854368932039,,0.6504854368932039,0.6504854368932039,103.0,103,67,False
Gemma 4 31B,Greedy,Mechanical,Expansion,1,0.6601941747572816,,0.6601941747572816,0.6601941747572816,103.0,103,68,False
Gemma 4 31B,Greedy,Mechanical,Temporal,1,0.39805825242718446,,0.39805825242718446,0.39805825242718446,103.0,103,41,False
Gemma 4 31B,Greedy,Mechanical,Any explicit,1,0.9320388349514563,,0.9320388349514563,0.9320388349514563,103.0,103,96,False
