model,decoding_group,semantic_category,discourse_relation,n_runs,mean_relations_per_100_words,sd_relations_per_100_words,min_relations_per_100_words,max_relations_per_100_words,mean_per_justification_density,total_words,total_relations,low_support_diagnostic
Gemma 4 4B,Stochastic,Testimony,Comparison,3,1.2382743813369952,0.016082587791942354,1.2200114631949561,1.2503211441294853,1.2418282059193968,35461,439,False
Gemma 4 4B,Stochastic,Testimony,Contingency,3,0.5184862256444457,0.10099752441509983,0.41483017889551466,0.6165967286118009,0.529936488681399,35461,184,False
Gemma 4 4B,Stochastic,Testimony,Expansion,3,0.6806634369631807,0.056285425660011594,0.6222877261934004,0.7345951084608072,0.6894584076025367,35461,241,False
Gemma 4 4B,Stochastic,Testimony,Temporal,3,0.491734664294079,0.1208160972249359,0.35433411113991875,0.5813477442069925,0.49037119833733084,35461,175,False
Gemma 4 4B,Stochastic,Testimony,Any explicit,3,2.9291587082387007,0.17239647572445402,2.7482499351827845,3.0915474865119466,2.951594300540664,35461,1039,False
Gemma 4 4B,Stochastic,SocialJudgment,Comparison,3,1.148821028155548,0.044097489916816425,1.101990329472619,1.189549749861034,1.153016566610347,26460,304,False
Gemma 4 4B,Stochastic,SocialJudgment,Contingency,3,0.3316860200582174,0.06186237366836091,0.2799813345776948,0.4002223457476376,0.3370062944965569,26460,88,False
Gemma 4 4B,Stochastic,SocialJudgment,Expansion,3,0.6883624739961655,0.08997934545235073,0.584729562577308,0.7466168922071862,0.6917636147493762,26460,182,False
Gemma 4 4B,Stochastic,SocialJudgment,Temporal,3,0.44755509888079353,0.1350534279081054,0.2916472235184321,0.5285055661756438,0.44870622846487457,26460,119,False
Gemma 4 4B,Stochastic,SocialJudgment,Any explicit,3,2.6164246210907245,0.20086605758855675,2.473168455436304,2.8460255697609784,2.6304927043211546,26460,693,False
Gemma 4 4B,Stochastic,Behavioral,Comparison,3,1.1543920843062925,0.062007483983844064,1.1120898480510901,1.2255713812520703,1.1551928639576214,28090,324,False
Gemma 4 4B,Stochastic,Behavioral,Contingency,3,0.35748545265804466,0.06401806404064615,0.3115264797507788,0.4306061609804571,0.35070704095531996,28090,100,False
Gemma 4 4B,Stochastic,Behavioral,Expansion,3,0.5640719806474149,0.052053284838331736,0.5125113053964425,0.616604272186743,0.5685402890205111,28090,158,False
Gemma 4 4B,Stochastic,Behavioral,Temporal,3,0.5321862650549264,0.11782331759873127,0.39638846069147765,0.6072650988185934,0.5409877132902133,28090,150,False
Gemma 4 4B,Stochastic,Behavioral,Any explicit,3,2.6081357826666784,0.19408963867500026,2.4554062981722087,2.82654300541018,2.6154279072236655,28090,732,False
Gemma 4 4B,Stochastic,ClaimComparison,Comparison,3,1.0803357735726504,0.09381401479915666,0.9992006394884093,1.1830635118306352,1.075867189077141,8642,94,False
Gemma 4 4B,Stochastic,ClaimComparison,Contingency,3,0.30785982378514776,0.08632744598719208,0.2390710382513661,0.40473225404732255,0.3087199988117173,8642,27,False
Gemma 4 4B,Stochastic,ClaimComparison,Expansion,3,0.7416632346152013,0.1567436529793683,0.6226650062266501,0.9192645883293366,0.74660777179483,8642,63,False
Gemma 4 4B,Stochastic,ClaimComparison,Temporal,3,1.0215592233696593,0.27026354506214884,0.7160647571606475,1.2295081967213115,1.0171540553675342,8642,87,False
Gemma 4 4B,Stochastic,ClaimComparison,Any explicit,3,3.1514180553426585,0.20197224970334865,2.9265255292652554,3.317346123101519,3.1483490150512226,8642,271,False
Gemma 4 4B,Stochastic,Payoff,Comparison,3,1.2097836621398075,0.07273877995887272,1.160576661528697,1.293335728399497,1.2159892242838726,33563,406,False
Gemma 4 4B,Stochastic,Payoff,Contingency,3,0.5513392714752284,0.04774234291120554,0.5029638943775822,0.5984223411007344,0.5630207432490844,33563,185,False
