model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 31B,Stochastic,Testimony,Any explicit,3,0.5339212638666134,0.037374624668461254,0.5103926096997691,0.5770171149144254,420.0,1260,672,False
Gemma 4 31B,Stochastic,SocialJudgment,Comparison,3,0.24454236635141494,0.026005513992480776,0.21518987341772153,0.2647058823529412,71.33333333333333,214,52,False
Gemma 4 31B,Stochastic,SocialJudgment,Contingency,3,0.09452921542696051,0.022400096274449284,0.0759493670886076,0.11940298507462686,71.33333333333333,214,20,False
Gemma 4 31B,Stochastic,SocialJudgment,Expansion,3,0.2868318496867857,0.029609462300600974,0.25316455696202533,0.3088235294117647,71.33333333333333,214,61,False
Gemma 4 31B,Stochastic,SocialJudgment,Temporal,3,0.1197725075293673,0.027832732303168056,0.10294117647058823,0.1518987341772152,71.33333333333333,214,26,False
Gemma 4 31B,Stochastic,SocialJudgment,Any explicit,3,0.5865414180030598,0.050029242215643775,0.5443037974683544,0.6417910447761194,71.33333333333333,214,125,False
Gemma 4 31B,Stochastic,Behavioral,Comparison,3,0.23161663469661117,0.0033148238060909142,0.22807017543859648,0.2346368715083799,172.66666666666666,518,120,False
Gemma 4 31B,Stochastic,Behavioral,Contingency,3,0.16180756826890316,0.022023693711656245,0.14035087719298245,0.18435754189944134,172.66666666666666,518,84,False
Gemma 4 31B,Stochastic,Behavioral,Expansion,3,0.20845137362338184,0.023889826717708312,0.18128654970760233,0.2261904761904762,172.66666666666666,518,108,False
Gemma 4 31B,Stochastic,Behavioral,Temporal,3,0.14264575933937887,0.02833769064233129,0.1130952380952381,0.1695906432748538,172.66666666666666,518,74,False
Gemma 4 31B,Stochastic,Behavioral,Any explicit,3,0.5574947611113444,0.020447553774377757,0.543859649122807,0.5810055865921788,172.66666666666666,518,289,False
Gemma 4 31B,Stochastic,ClaimComparison,Comparison,3,0.18953367307797686,0.018745989195345883,0.17142857142857143,0.2088607594936709,162.33333333333334,487,92,False
Gemma 4 31B,Stochastic,ClaimComparison,Contingency,3,0.13850293166748862,0.02489115798525576,0.11688311688311688,0.1657142857142857,162.33333333333334,487,68,False
Gemma 4 31B,Stochastic,ClaimComparison,Expansion,3,0.20092169433941587,0.015158695908932665,0.18354430379746836,0.21142857142857144,162.33333333333334,487,98,False
Gemma 4 31B,Stochastic,ClaimComparison,Temporal,3,0.30719381883938846,0.029018705065326493,0.2742857142857143,0.3291139240506329,162.33333333333334,487,149,False
Gemma 4 31B,Stochastic,ClaimComparison,Any explicit,3,0.636410762233547,0.027146129878713808,0.6103896103896104,0.6645569620253164,162.33333333333334,487,310,False
Gemma 4 31B,Stochastic,Payoff,Comparison,3,0.18973891924711594,0.028948762329669368,0.16666666666666666,0.2222222222222222,57.333333333333336,172,32,False
Gemma 4 31B,Stochastic,Payoff,Contingency,3,0.5398465529613071,0.06005723004640548,0.4888888888888889,0.6060606060606061,57.333333333333336,172,94,False
Gemma 4 31B,Stochastic,Payoff,Expansion,3,0.331511839708561,0.00315491950376845,0.32786885245901637,0.3333333333333333,57.333333333333336,172,57,False
Gemma 4 31B,Stochastic,Payoff,Temporal,3,0.05410388033338853,0.034607116452473545,0.022222222222222223,0.09090909090909091,57.333333333333336,172,10,False
Gemma 4 31B,Stochastic,Payoff,Any explicit,3,0.7685378373902964,0.044228839138584594,0.7333333333333333,0.8181818181818182,57.333333333333336,172,133,False
Gemma 4 31B,Stochastic,Uncertainty,Comparison,3,0.4094771241830066,0.008565583282405977,0.4,0.4166666666666667,22.0,66,27,True
Gemma 4 31B,Stochastic,Uncertainty,Contingency,3,0.14183006535947712,0.07379255745200144,0.058823529411764705,0.2,22.0,66,10,True
